player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Will Rogers,124184,QB,MISS STATE,12,78.6,524,570,5.9,2.49,18,13,2.2,67.2,383,0,123,7.0,608,29,195,227,53.1,72.9,72.5,50.4,1,6,640,3,19.5,100.6,3.9,24,11,6,21,34,17,2.7,3694,6.5
Kyle Vantrease,55029,QB,GA SOUTHRN,12,68.7,531,559,8.9,2.3,7,21,3.6,61.7,345,0,127,5.5,574,20,184,174,65.0,68.9,68.7,51.8,1,15,603,0,4.7,86.4,1.0,6,8,0,20,25,21,3.5,3918,7.0
Austin Reed,111760,QB,W KENTUCKY,13,72.7,520,550,8.4,2.29,14,31,5.4,64.5,355,0,99,6.1,585,23,194,346,54.2,75.5,74.3,63.4,5,10,611,2,13.1,102.3,2.2,13,16,2,9,36,23,3.8,4247,7.7
Michael Penix Jr.,82134,QB,WASHINGTON,12,74.7,483,503,9.9,2.57,3,25,4.7,65.6,330,0,112,8.6,520,31,206,340,81.0,90.1,90.1,53.9,1,7,552,4,3.6,106.2,0.8,4,13,2,14,29,7,1.3,4354,8.7
John Paddock,77689,QB,BALL ST,12,67.3,453,483,7.4,2.19,13,10,2.0,59.8,289,0,124,5.2,501,16,144,117,74.5,63.1,62.1,53.0,4,14,530,1,10.5,76.0,2.6,13,5,0,13,18,20,3.8,2743,5.7
Clayton Tune,77652,QB,HOUSTON,12,79.6,432,469,9.5,3.16,7,26,5.3,67.2,315,0,147,8.4,545,29,209,182,56.4,91.5,90.7,73.6,2,10,571,2,15.6,109.5,4.2,23,51,1,27,37,17,3.0,3836,8.2
Cam Ward,133244,QB,WASH STATE,12,75.0,432,469,7.1,2.99,4,10,2.0,63.8,299,0,200,7.7,550,25,170,341,48.5,61.9,59.2,67.8,1,8,573,4,20.0,91.9,7.3,40,36,0,32,23,17,3.0,3091,6.6
Hunter Dekkers,122511,QB,IOWA STATE,12,74.2,442,458,7.5,2.61,2,15,3.2,65.9,302,1,155,7.9,507,26,160,193,71.4,73.7,74.7,56.8,2,14,527,3,17.4,85.8,5.3,27,21,1,11,19,13,2.5,3044,6.6
Jack Plummer,83543,QB,CAL,12,74.7,411,453,9.0,2.57,3,19,3.9,62.3,282,0,183,8.1,496,25,149,130,68.1,78.4,74.9,75.4,7,9,528,3,16.9,89.6,6.3,31,12,0,32,21,18,3.4,3095,6.8
Aidan O'Connell,60516,QB,PURDUE,11,72.4,424,451,8.4,2.51,4,18,3.8,63.4,286,0,117,6.8,482,21,152,273,74.1,68.2,67.3,61.1,6,11,512,5,16.2,89.8,3.9,19,11,0,17,22,22,4.3,3117,6.9
Layne Hatcher,82068,QB,TEXAS ST,12,71.4,406,447,8.1,2.74,6,17,3.7,61.7,276,0,138,4.8,492,14,119,314,60.9,58.9,59.0,52.3,2,10,510,5,19.6,83.4,5.5,27,15,1,32,19,21,4.1,2680,6.0
E.J. Warner,156185,QB,TEMPLE,11,69.2,419,443,8.5,2.31,7,13,2.8,60.5,268,0,130,7.6,454,22,148,306,55.8,60.8,63.0,31.0,1,12,473,3,5.4,83.2,1.5,7,4,0,16,18,22,4.7,3025,6.8
Drake Maye,143969,QB,N CAROLINA,12,76.5,409,439,10.3,2.9,3,39,8.6,67.2,295,0,198,5.8,550,18,205,245,63.5,91.9,91.2,73.9,4,5,571,2,19.2,115.4,6.9,38,69,2,21,34,10,1.8,3819,8.7
Jayden de Laura,131928,QB,ARIZONA,12,70.4,422,438,10.0,3.11,3,29,6.3,62.1,272,0,163,8.4,504,25,192,109,27.6,76.3,73.7,69.0,1,13,528,6,16.6,95.5,5.4,27,38,2,10,25,24,4.5,3685,8.4
Holton Ahlers,77651,QB,E CAROLINA,12,74.3,413,435,8.5,2.48,10,18,3.9,66.7,290,0,148,5.5,469,17,158,156,75.5,85.2,83.0,66.5,4,5,493,1,10.1,103.0,3.2,15,19,2,6,23,10,2.0,3399,7.8
Tanner McKee,131770,QB,STANFORD,12,72.0,393,433,7.8,2.51,7,15,3.3,61.2,265,0,148,6.4,499,18,145,300,74.2,75.4,75.2,55.7,2,8,525,0,27.0,83.8,8.0,40,24,7,24,13,8,1.5,2949,6.8
Connor Bazelak,99135,QB,INDIANA,10,64.6,390,428,8.2,2.52,5,7,1.5,54.9,235,0,154,6.7,453,17,112,190,61.8,52.5,52.8,49.8,3,10,485,6,14.9,70.7,5.1,23,1,0,30,13,15,3.1,2312,5.4
Cole Snyder,97617,QB,BUFFALO,12,68.4,389,425,9.5,2.49,10,16,3.6,59.1,251,0,141,5.6,483,15,137,126,56.6,63.2,61.4,59.8,2,8,507,1,22.0,83.9,6.4,31,27,0,24,17,22,4.3,2763,6.5
Seth Henigan,144267,QB,MEMPHIS,12,73.0,407,424,9.3,2.84,2,22,4.8,63.7,270,0,149,9.1,506,27,161,218,61.7,79.7,79.5,63.2,2,8,539,3,18.8,94.6,5.5,28,52,1,12,19,14,2.6,3296,7.8
Chase Cunningham,78533,QB,MIDDLE TN,11,77.8,387,419,6.0,2.46,3,17,3.8,66.8,280,0,161,7.0,454,21,136,224,61.9,66.0,66.9,56.2,2,9,488,3,13.7,92.9,4.8,22,12,1,26,19,17,3.5,2910,6.9
Hayden Wolff,98362,QB,DOMINION,12,66.2,385,411,9.7,2.69,12,25,5.8,56.9,234,0,166,8.2,469,21,128,263,34.9,65.3,64.9,57.9,2,6,493,2,21.7,87.5,7.7,36,21,1,11,18,22,4.5,2904,7.1
Caleb Williams,144622,QB,USC,12,76.1,385,409,9.7,3.3,5,24,5.4,65.8,269,0,153,8.2,465,24,183,326,54.2,91.2,89.2,78.7,3,3,499,3,15.0,119.4,4.9,23,33,1,15,34,8,1.6,3717,9.1
Tanner Mordecai,77656,QB,SMU,11,73.1,386,402,9.3,2.66,1,27,6.3,63.9,257,0,100,8.9,443,25,154,287,42.1,77.5,80.3,44.0,2,9,470,1,17.0,105.6,3.8,17,23,0,13,31,12,2.6,3268,8.1
Brayden Schager,146078,QB,HAWAII,12,67.6,380,402,10.0,2.78,2,19,4.5,55.0,221,0,142,14.0,440,36,113,180,59.5,65.8,63.8,63.7,3,10,463,2,9.9,72.6,3.2,14,16,1,16,13,17,3.7,2348,5.8
Frank Harris,60586,QB,UTSA,12,77.0,374,397,9.1,2.64,7,19,4.5,69.0,274,0,134,4.9,461,14,189,331,59.1,90.7,87.3,78.1,1,7,485,3,14.2,112.0,4.1,19,45,2,13,27,9,1.9,3531,8.9
Sam Hartman,77618,QB,WAKE,11,71.3,376,393,12.9,3.02,6,25,5.9,62.8,247,0,154,7.8,463,21,177,339,41.2,86.9,88.3,54.8,7,11,492,2,22.1,108.7,7.3,34,36,0,4,35,16,3.3,3420,8.7
Payton Thorne,101629,QB,MICH STATE,12,71.7,364,390,8.5,2.69,9,18,4.2,62.1,242,1,125,7.3,423,19,134,223,68.6,71.8,70.7,61.7,1,11,460,4,15.2,86.9,4.5,19,13,2,14,19,14,3.0,2679,6.9
Chevan Cordeiro,75886,QB,S JOSE ST,11,70.9,357,382,10.1,2.74,7,23,5.6,61.0,233,0,155,7.9,483,20,150,285,69.9,77.7,74.7,67.8,2,4,512,2,26.5,97.4,8.5,41,60,0,16,20,11,2.1,2879,7.5
DJ Irons,145585,QB,AKRON,10,74.6,358,380,9.1,2.89,1,11,2.8,66.1,251,2,158,6.0,455,16,142,102,59.9,73.1,69.4,72.0,3,7,473,6,25.9,86.6,9.0,41,32,2,16,10,15,3.2,2589,6.8
Bo Nix,97790,QB,OREGON,12,82.6,344,378,7.7,2.64,7,14,3.5,71.4,270,0,88,4.9,408,14,158,264,77.1,85.6,77.0,83.2,2,6,430,4,5.7,116.1,1.2,5,24,0,25,27,8,1.9,3384,9.0
Jaren Hall,82094,QB,BYU,12,75.9,340,376,10.0,2.78,6,22,5.5,65.7,247,0,101,4.3,417,11,151,128,58.0,86.3,82.4,72.0,2,6,443,0,11.9,112.7,2.9,12,27,1,27,31,12,2.7,3162,8.4
Matt McDonald,60350,QB,BOWL GREEN,11,72.8,345,374,8.5,2.73,15,14,3.5,61.2,229,0,155,8.8,434,22,120,122,61.4,73.9,72.0,65.1,6,8,464,3,22.6,93.0,8.1,35,23,0,8,22,15,3.2,2624,7.0
Carter Bradley,77685,QB,S ALABAMA,12,75.4,350,374,8.6,2.43,8,20,5.1,63.6,238,0,117,9.8,424,26,156,288,73.7,76.0,76.1,60.3,8,10,443,5,17.9,99.4,5.0,21,28,1,7,25,15,3.4,2975,8.0
N'Kosi Perry,60446,QB,FAU,12,66.3,353,371,10.6,2.47,3,35,9.0,58.0,215,0,110,8.1,412,19,140,165,26.9,77.0,80.9,50.6,2,5,428,1,13.6,97.7,3.6,15,25,1,12,25,17,4.0,2710,7.3
Spencer Sanders,77660,QB,OKLA STATE,10,66.8,340,368,9.9,2.75,3,10,2.5,57.6,212,0,133,6.6,421,15,142,262,83.3,69.3,63.5,73.7,8,9,448,2,12.0,85.2,3.8,16,36,0,17,17,17,3.8,2641,7.2
Stetson Bennett,60387,QB,GEORGIA,12,75.7,345,366,9.1,2.53,4,19,5.0,66.9,245,0,69,6.1,385,16,157,173,46.7,84.6,81.9,68.0,3,6,399,1,13.0,101.5,2.3,9,9,1,13,16,10,2.5,3156,8.6
DJ Uiagalelei,122162,QB,CLEMSON,12,71.8,337,365,9.2,2.5,3,22,5.7,62.2,227,0,105,6.2,408,15,122,140,52.0,79.7,74.4,72.5,8,7,426,2,19.0,94.7,4.9,20,18,0,17,22,11,2.6,2510,6.9
Riley Leonard,143862,QB,DUKE,12,70.5,339,363,8.7,2.72,5,15,3.9,63.4,230,0,124,3.8,422,9,133,154,73.2,76.8,68.7,79.3,7,6,450,2,11.3,98.2,3.3,14,43,1,11,20,7,1.6,2778,7.7
Dorian Thompson-Robinson,83574,QB,UCLA,12,77.1,341,360,6.8,2.81,5,8,2.1,69.4,250,0,137,4.9,420,13,167,324,34.7,73.2,66.5,73.4,3,7,435,2,10.9,108.3,3.6,15,44,0,11,25,17,3.9,2873,8.0
Bryce Young,123943,QB,ALABAMA,11,77.3,326,359,9.6,3.02,1,20,5.2,64.1,230,0,132,8.7,405,22,160,103,57.5,91.0,90.8,67.6,11,5,429,4,12.1,109.6,4.0,16,29,0,21,27,9,2.1,3004,8.4
